SPAC1556.02c	SPBC1604.16c	SPCC1753.05	
SPAC1556.03	SPBC1604.17c	SPCC1795.01c	
SPAC1556.04c	SPBC1604.18c	SPCC1795.02c	
SPAC1556.05c	SPBC1604.19c	SPCC1795.03	
SPAC1556.06	SPBC1604.20c	SPCC1795.04c	
SPAC1556.07	SPBC1604.21c	SPCC1795.05c	
SPAC1556.08c	SPBC1604.25	SPCC1795.06	
SPAC1565.01	SPBC1652.01	SPCC1795.07	
SPAC1565.02c	SPBC1652.02	SPCC1795.08c	
SPAC1565.03	SPBC1677.02	SPCC1795.09	
SPAC1565.04c	SPBC1677.03c	SPCC1795.10c	
SPAC1565.05	SPBC1683.01	SPCC1795.11	
SPAC1565.06c	SPBC1683.02	SPCC1795.12c	
SPAC1565.07c	SPBC1683.03c	SPCC18.01c	
SPAC1565.08	SPBC1683.04	SPCC18.02	
SPAC15A10.01	SPBC1683.05	SPCC18.03	
SPAC15A10.02	SPBC1683.06c	SPCC18.04	
SPAC15A10.03c	SPBC1683.07	SPCC18.05c	
SPAC15A10.04c	SPBC1683.08	SPCC18.06c	
SPAC15A10.05c	SPBC1683.09c	SPCC18.07	
SPAC15A10.06	SPBC1683.10c	SPCC18.08	
SPAC15A10.07	SPBC1683.11c	SPCC18.09c	
SPAC15A10.08	SPBC1683.12	SPCC18.10	
SPAC15A10.09c	SPBC1683.13c	SPCC18.11c	
SPAC15A10.10	SPBC1685.01	SPCC18.12c	
SPAC15A10.11	SPBC1685.02c	SPCC18.13	
SPAC15A10.12c	SPBC1685.03	SPCC18.14c	
SPAC15A10.13	SPBC1685.04	SPCC18.15	
SPAC15A10.15	SPBC1685.05	SPCC18.16c	
SPAC15A10.16	SPBC1685.06	SPCC18.17c	
SPAC15A10.17	SPBC1685.07c	SPCC18.18c	
SPAC15E1.02c	SPBC1685.08	SPCC18.19c	
SPAC15E1.03	SPBC1685.09	SPCC18.20	
SPAC15E1.04	SPBC1685.10	SPCC1827.01c	
SPAC15E1.05c	SPBC1685.11	SPCC1827.02c	
SPAC15E1.06	SPBC1685.13	SPCC1827.03c	
SPAC15E1.07c	SPBC1685.14c	SPCC1827.04	
SPAC15E1.08	SPBC1685.15c	SPCC1827.05c	
SPAC15E1.09	SPBC1685.16	SPCC1827.06c	
SPAC15E1.10	SPBC1685.17	SPCC1827.07c	
SPAC15F9.01c	SPBC16A3.01	SPCC1827.08c	
SPAC15F9.02	SPBC16A3.02c	SPCC1840.01c	
SPAC15F9.03c	SPBC16A3.03c	SPCC1840.02c	
SPAC16.01	SPBC16A3.04	SPCC1840.03	
SPAC16.02c	SPBC16A3.05c	SPCC1840.04	
SPAC16.03c	SPBC16A3.06	SPCC1840.05c	
SPAC16.04	SPBC16A3.07c	SPCC1840.06	
SPAC16.05c	SPBC16A3.08c	SPCC1840.07c	
SPAC1610.01	SPBC16A3.09c	SPCC1840.08c	
SPAC1610.02c	SPBC16A3.10	SPCC1840.09	
SPAC1610.03c	SPBC16A3.11	SPCC1840.10	
SPAC1610.04	SPBC16A3.12c	SPCC1840.11	
SPAC1635.01	SPBC16A3.13	SPCC1840.12	
SPAC1639.01c	SPBC16A3.14	SPCC1840.13	
SPAC1639.02c	SPBC16A3.15c	SPCC188.02	
SPAC167.01	SPBC16A3.16	SPCC188.03	
SPAC167.02	SPBC16A3.17c	SPCC188.04c	
SPAC167.03c	SPBC16A3.18	SPCC188.06c	
SPAC167.04	SPBC16A3.19	SPCC188.07	
SPAC167.05	SPBC16C6.01c	SPCC188.08c	
SPAC167.06c	SPBC16C6.02c	SPCC188.09c	
SPAC167.07c	SPBC16C6.03c	SPCC188.10c	
SPAC167.08	SPBC16C6.04	SPCC188.11	
SPAC167.09	SPBC16C6.05	SPCC188.12	
SPAC1687.01	SPBC16C6.06	SPCC188.13c	
SPAC1687.02	SPBC16C6.07c	SPCC188.14	
SPAC1687.03c	SPBC16C6.08c	SPCC1884.01	
SPAC1687.04	SPBC16C6.09	SPCC1884.02	
SPAC1687.05	SPBC16C6.10	SPCC18B5.01c	
SPAC1687.06c	SPBC16C6.11	SPCC18B5.02c	
SPAC1687.07	SPBC16C6.12c	SPCC18B5.03	
SPAC1687.08	SPBC16C6.13c	SPCC18B5.04	
SPAC1687.09	SPBC16C6.14	SPCC18B5.05c	
SPAC1687.10	SPBC16D10.01c	SPCC18B5.06	
SPAC1687.11	SPBC16D10.02	SPCC18B5.07c	
SPAC1687.12c	SPBC16D10.03	SPCC18B5.08c	
SPAC1687.13c	SPBC16D10.04c	SPCC18B5.09c	
SPAC1687.14c	SPBC16D10.05	SPCC18B5.10c	
SPAC1687.15	SPBC16D10.06	SPCC18B5.11c	
SPAC1687.16c	SPBC16D10.07c	SPCC1902.01	
SPAC1687.17c	SPBC16D10.08c	SPCC1902.02	
SPAC1687.18c	SPBC16D10.09	SPCC1906.01	
SPAC1687.19c	SPBC16D10.10	SPCC1906.02c	
SPAC1687.20c	SPBC16D10.11c	SPCC1906.03	
SPAC1687.21	SPBC16E9.01c	SPCC1906.04	
SPAC1687.22c	SPBC16E9.02c	SPCC191.01	
SPAC1687.23c	SPBC16E9.03c	SPCC191.02c	
SPAC16A10.01	SPBC16E9.05	SPCC191.03c	
SPAC16A10.02	SPBC16E9.06c	SPCC191.04c	
SPAC16A10.03c	SPBC16E9.07	SPCC191.05c	
SPAC16A10.04	SPBC16E9.08	SPCC191.06	
SPAC16A10.05c	SPBC16E9.09c	SPCC191.07	
SPAC16A10.06c	SPBC16E9.10c	SPCC191.08	
SPAC16A10.07c	SPBC16E9.11c	SPCC191.09c	
SPAC16A10.08c	SPBC16E9.12c	SPCC191.10	
SPAC16C9.01c	SPBC16E9.13	SPCC191.11	
SPAC16C9.02c	SPBC16E9.14c	SPCC1919.01	
SPAC16C9.03	SPBC16E9.15	SPCC1919.02	
SPAC16C9.04c	SPBC16E9.16c	SPCC1919.03c	
SPAC16C9.05	SPBC16E9.17c	SPCC1919.04	
SPAC16C9.06c	SPBC16E9.18	SPCC1919.05	
SPAC16C9.07	SPBC16E9.19	SPCC1919.06c	
SPAC16E8.01	SPBC16E9.20	SPCC1919.07	
SPAC16E8.02	SPBC16G5.01	SPCC1919.08c	
SPAC16E8.03	SPBC16G5.02c	SPCC1919.09	
SPAC16E8.04c	SPBC16G5.03	SPCC1919.10c	
SPAC16E8.05c	SPBC16G5.04	SPCC1919.11	
SPAC16E8.06c	SPBC16G5.05c	SPCC1919.12c	
SPAC16E8.07c	SPBC16G5.06	SPCC1919.13c	
SPAC16E8.08	SPBC16G5.07c	SPCC1919.14c	
SPAC16E8.09	SPBC16G5.08	SPCC1919.15	
SPAC16E8.10c	SPBC16G5.09	SPCC23B6.01c	
SPAC16E8.11c	SPBC16G5.10	SPCC23B6.02c	
SPAC16E8.12c	SPBC16G5.11c	SPCC23B6.03c	
SPAC16E8.13	SPBC16G5.12c	SPCC23B6.04c	
SPAC16E8.14c	SPBC16G5.13	SPCC23B6.05c	
SPAC16E8.15	SPBC16G5.14c	SPCC24B10.02c	
SPAC16E8.16	SPBC16G5.15c	SPCC24B10.03	
SPAC16E8.17c	SPBC16G5.16	SPCC24B10.04	
SPAC16E8.18	SPBC16G5.17	SPCC24B10.05	
SPAC16E8.18c	SPBC16G5.18	SPCC24B10.06	
SPAC1705.02	SPBC16G5.19	SPCC24B10.07	
SPAC1705.03c	SPBC16H5.02	SPCC24B10.08c	
SPAC1751.01c	SPBC16H5.03c	SPCC24B10.09	
SPAC1751.02c	SPBC16H5.04	SPCC24B10.10c	
SPAC1751.03	SPBC16H5.05c	SPCC24B10.11c	
SPAC1751.04	SPBC16H5.06	SPCC24B10.12	
SPAC1782.01	SPBC16H5.07c	SPCC24B10.13	
SPAC1782.02c	SPBC16H5.08c	SPCC24B10.14c	
SPAC1782.03	SPBC16H5.09c	SPCC24B10.15	
SPAC1782.04	SPBC16H5.10c	SPCC24B10.16c	
SPAC1782.05	SPBC16H5.11c	SPCC24B10.17	
SPAC1782.06c	SPBC16H5.12c	SPCC24B10.18	
SPAC1782.07	SPBC16H5.13	SPCC24B10.19c	
SPAC1782.08c	SPBC16H5.14c	SPCC24B10.20	
SPAC1782.09c	SPBC16H5.15	SPCC24B10.21	
SPAC1782.10c	SPBC1703.01c	SPCC24B10.22	
SPAC1782.11	SPBC1703.02	SPCC285.03	
